Report Date,Product Price,Organic Conversion Percentage,Ad Conversion Percentage,Total Profit,Total Sales,Predicted Sales
2025-01-22,,0,0,0,0,124.8513241
2025-01-21,,0,0,0,0,213.3324051
2025-01-20,,0,0,0,0,398.9654916
2025-01-19,,0,0,0,0,339.0659591
2025-01-18,,0,0,0,0,195.1905468
2025-01-17,,0,0,0,0,109.3709827
2025-01-16,,0,0,0,0,147.5839817
2025-01-15,,0,0,0,0,123.79322
2025-01-14,,0,0,0,0,211.52224
2025-01-13,,0,0,0,0,397.5039203
2025-01-12,,0,0,0,0,336.1819295
2025-01-11,,0,0,0,0,193.5282738
2025-01-10,,0,0,0,0,108.4384279
2025-01-09,,0,0,0,0,146.324068
2025-01-08,,0,0,0,0,122.7351159
2025-01-07,,0,0,0,0,209.7120748
2025-01-06,,0,0,0,0,394.0979971
2025-01-05,,0,0,0,0,333.2978998
2025-01-04,,0,0,0,0,191.8660008
2025-01-03,,0,0,0,0,107.5058731
2025-01-02,,0,0,0,0,145.0641543
2025-01-01,,0,0,0,0,121.6770117
2024-12-31,,0,0,0,0,207.9019096
2024-12-30,,0,0,0,0,390.6920738
2024-12-29,,0,0,0,0,330.4138701
2024-12-28,,0,0,0,0,190.2037278
2024-12-27,,0,0,0,0,106.5733183
2024-12-26,,0,0,0,0,143.8042406
2024-12-25,,0,0,0,0,120.6189076
2024-12-24,,0,0,0,0,206.0917444
2024-12-23,,0,0,0,0,387.2861506
2024-12-22,23.5,100,0,48.87,140.86,327.5298405
2024-12-21,23.25,10.42,22.5,144.29,302.38,188.5414548
2024-12-20,23.25,12,16,87.94,186.08,105.6407634
2024-12-19,23.25,1.43,26.087,135.37,302.38,142.5443269
2024-12-18,23.25,150,25.8065,179.45,348.9,119.5608035
2024-12-17,23.25,100,28.5714,183.77,348.9,78.67474248
2024-12-16,23.5,4.17,17.5,128.47,281.71,63.79349408
2024-12-15,25.75,14.29,40,247.72,489.08,74.69355531
2024-12-14,25.85,5.88,25.641,71.82,180.95,71.30493555
2024-12-13,25.85,33.33,8.8235,64.92,155.1,49.93170956
2024-12-12,25.85,33.33,8.3333,-5.24,51.7,52.22977163
2024-12-11,25.85,21.74,9.5238,12.48,51.7,56.44614762
2024-12-10,25.7,50,19.0476,162.44,333.98,81.87531013
2024-12-09,25.85,5.88,17.3913,135.34,284.35,66.37368262
2024-12-08,25.85,5.7,30.9524,-24.75,25.85,77.69725186
2024-12-07,25.85,1.09,20.5882,135.34,258.5,74.15598481
2024-12-06,25.85,100,14.2857,31.63,77.55,51.91683493
2024-12-05,,11.11,19.3548,-28.28,,54.2945337
2024-12-04,25.85,11.11,13.0435,26.13,77.55,58.66506141
2024-12-03,25.85,25,26.087,60.25,129.25,85.07587778
2024-12-02,,20.67,25,-28.74,,68.95387117
2024-12-01,,9.09,23.6842,-35.76,,80.70094842
2024-11-30,,33.33,14.8148,-25.19,,77.00703406
2024-11-29,,8.7,4.5455,-20.25,,53.90196029
2024-11-28,,16.67,8.3333,-11.06,,56.35929577
2024-11-27,25.85,18.75,0,3.51,25.85,60.8839752
2024-11-26,,0.8,5.8824,-17.34,,88.27644543
2024-11-25,25.85,7.14,10,8.14,25.85,71.53405972
2024-11-24,25.85,28.57,25,84.45,155.1,83.70464497
2024-11-23,25.85,57.14,12.5,122.03,232.65,79.85808332
2024-11-22,,50,10,-18.77,,55.88708566
2024-11-21,,6.25,11.7647,-17.22,,58.42405784
2024-11-20,,14.29,6.25,-16.03,,63.10288899
2024-11-19,25.85,100,5,95.98,180.95,91.47701308
2024-11-18,25.85,2.08,16.6667,132.21,232.65,74.11424827
2024-11-17,25.55,50,20,,178.88,86.70834152
2024-11-16,25.85,23.53,8.6957,,51.7,82.70913258
2024-11-15,22.9,33.33,5.5556,,91.6,57.87221102
2024-11-14,23,9.09,9.0909,,115,60.48881991
2024-11-13,26.5,50,0,,26.5,128.9013555
2024-11-12,26.5,6.25,0,,26.5,197.5009965
2024-11-11,26.5,8,28.5714,,132.5,151.9038212
2024-11-10,26.5,14.29,23.0769,,159,179.0686327
2024-11-09,22.7,23.91,15.3846,,159,168.3167645
2024-11-08,26.5,13.4,0,,26.5,113.1814156
2024-11-07,26.5,33.33,0,,26.5,122.9266462
2024-11-06,,,0,,,129.1213667
2024-11-05,26.5,12.5,,,26.5,197.8380127
2024-11-04,26.5,20,,,79.5,152.1629671
2024-11-03,26.5,6.67,,,26.5,179.374047
2024-11-02,26.5,42.86,,,53,168.6037708
2024-11-01,26.5,50,,,79.5,113.3743605
2024-10-31,,,,,,123.1361532
2024-10-30,,,,,,129.341378
2024-10-29,26.5,4.55,,,26.5,198.175029
2024-10-23,26.5,50,,,53,
2024-10-20,26.5,50,,,26.5,
2024-10-19,26.5,2.9,,,53,
2024-10-18,26.5,1.41,,,53,
2024-10-16,26.5,12.5,,,26.5,
2024-10-13,26.5,5.77,,,53,
2024-10-12,26.5,12.24,,,26.5,
2024-10-11,26.5,1.54,,,26.5,
2024-09-13,,,0,,,
2024-09-12,,,0,,,
2024-09-11,,,0,,,
2024-09-10,,,0,,,
2024-09-09,,,0,,,
2024-09-08,,,0,,,
2024-09-07,,,0,,,
2024-09-06,,,0,,,
2024-09-05,,,0,,,
2024-09-04,,,0,,,
2024-09-03,,,0,,,
2024-09-02,,,0,,,
2024-09-01,,,0,,,
2024-08-31,,,0,,,
2024-08-30,,,0,,,
2024-08-29,,,0,,,
2024-08-28,,,0,,,
2024-08-27,,,0,,,
