Report Date,Product Price,Organic Conversion Percentage,Ad Conversion Percentage,Total Profit,Total Sales,Predicted Sales
2025-01-22,,0,0,0,0,107.2284313
2025-01-21,,0,0,0,0,101.9473577
2025-01-20,,0,0,0,0,105.6924925
2025-01-19,,0,0,0,0,96.01066918
2025-01-18,,0,0,0,0,109.7286991
2025-01-17,,0,0,0,0,90.40913079
2025-01-16,,0,0,0,0,93.2795674
2025-01-15,,,,,,105.7341608
2025-01-14,,,,,,100.5238471
2025-01-13,,,,,,104.2137382
2025-01-12,,,,,,94.66468392
2025-01-11,,,,,,108.1873121
2025-01-10,,,,,,89.13657702
2025-01-09,,,,,,91.9639654
2025-01-08,,,,,,104.2398902
2025-01-07,,,,,,99.10033651
2025-01-06,,,,,,102.7349838
2025-01-05,,,,,,93.31869867
2025-01-04,,,,,,106.6459252
2025-01-03,,,,,,87.86402325
2025-01-02,,,,,,90.6483634
2025-01-01,,,,,,102.7456197
2024-12-31,,,,,,97.67682591
2024-12-30,,,,,,101.2562294
2024-12-29,,,,,,91.97271341
2024-12-28,,,,,,105.1045382
2024-12-27,,,,,,86.59146947
2024-12-26,,,,,,89.3327614
2024-12-25,,,,,,101.2513491
2024-12-24,,,,,,96.25331532
2024-12-23,,33.33,,0,,99.77747507
2024-12-22,14,22.22,0,34.48,125.91,90.62672816
2024-12-21,14.2,20,0,14.16,56.74,103.5631512
2024-12-20,14.4,14.29,0,15,57.52,85.3189157
2024-12-19,14,6.38,5.8824,9.66,55.96,88.0171594
2024-12-18,14,16.67,41.6667,48.34,153.89,99.75707854
2024-12-17,14.1,66.67,8.3333,23.77,84.72,94.82980473
2024-12-16,14,15.38,9.5238,31.41,125.91,98.29872071
2024-12-15,14,18.52,14.8148,63.1,223.84,111.8149443
2024-12-14,14.2,6.25,29.4118,26.8,99.49,126.2961839
2024-12-13,14.3,0,23.5294,17.39,71.51,109.441935
2024-12-12,14,33.33,0,8.82,55.96,116.0293282
2024-12-11,15.55,10,28.5714,-1.56,15.55,118.7961455
2024-12-10,15.55,30,12.5,8.65,46.65,118.2802711
2024-12-09,15.55,6.25,11.7647,21.12,77.75,127.7462864
2024-12-08,15.55,28.57,11.7647,20.81,77.75,109.2819628
2024-12-07,,100,10.5263,-10.11,,123.4258651
2024-12-06,,14.71,6.6667,-10.39,,106.9465591
2024-12-05,15.55,4.55,16.6667,21.98,93.3,113.3751082
2024-12-04,15.55,38.46,7.6923,-2.1,15.55,116.0697236
2024-12-03,,25,18.1818,-6.28,,115.5567594
2024-12-02,,25.34,5.2632,-11.46,,124.7951032
2024-12-01,,25.42,0,-8.51,,106.7489813
2024-11-30,15.55,3.45,0,6.19,15.55,120.5555463
2024-11-29,,26.67,0,0,,104.4511831
2024-11-28,,9.09,10,-8.22,,110.7208881
2024-11-27,15.55,25,4.5455,-5.55,15.55,113.3433017
2024-11-26,15.55,13.33,15.3846,-3.08,15.55,112.8332476
2024-11-25,,15.38,0,-0.45,,121.8439201
2024-11-24,15.75,50,0,-35.94,-15.75,104.2159997
2024-11-23,,,0,,,117.6852275
2024-11-22,,37.5,7.6923,-9.52,,101.9558071
2024-11-21,15.55,25,16.6667,1.38,15.55,108.066668
2024-11-20,,25.77,15.3846,-10.47,,110.6168798
2024-11-19,15.55,20,0,28.9,77.75,110.1097358
2024-11-18,10.35,25,0,5.36,31.1,118.892737
2024-11-17,15.55,50,,64.75,77.75,101.6830182
2024-11-16,15.75,100,,,15.75,114.8149087
2024-11-15,15.75,50,0,,63,99.46043117
2024-11-14,16.2,3.39,0,,48.6,105.412448
2024-11-13,18,100,,,90,92.42512913
2024-11-12,18,9.52,,,72,123.9935194
2024-11-11,18,12.5,0,,144,107.0384054
2024-11-10,18,20,0,,72,92.46435745
2024-11-09,16.8,42,5.1724,,234.85,100.0811212
2024-11-08,15.55,40,5.6604,,93.3,104.6471746
2024-11-07,15.55,10,6.25,,124.4,111.4680223
2024-11-06,15.55,42.86,20,,202.15,90.16123693
2024-11-05,15.55,29.03,8,,77.75,120.9457156
2024-11-04,15.55,12.5,2.2472,,108.85,104.3980928
2024-11-03,15.55,5.37,4.9383,,93.3,90.17547669
2024-11-02,15.55,9.29,7.1429,,139.95,97.59490155
2024-11-01,15.55,33.33,4.9383,,93.3,102.0382662
2024-10-31,15.55,12.5,10.4167,,93.3,108.679134
2024-10-30,15.55,50,6.3063,,155.5,87.89734474
2024-10-29,15.55,100,2.5862,,77.75,117.8979118
2024-10-28,15.55,10,4.2105,,139.95,101.7577802
2024-10-27,15.7,3.31,5.7692,,157,87.88659593
2024-10-26,15.7,7.69,8.3333,,78.5,95.10868188
2024-10-25,15.95,11.11,6.6667,,63.8,99.42935773
2024-10-24,17.7,5,4.8387,,35.4,105.8902456
2024-10-23,17.15,25,7.1429,,85.7,85.63345255
2024-10-22,15.9,12.47,1.7241,,47.7,114.850108
2024-10-21,14.45,4.35,7.1429,,115.6,99.11746759
2024-10-20,14.9,3.03,15.7895,,119.2,85.59771518
2024-10-19,15.45,2.22,4.7619,,77.3,92.62246222
2024-10-18,16.2,2.44,0,,48.6,96.8204493
2024-10-17,18,2.96,7.5472,,54,103.1013573
2024-10-16,16.5,33.33,10.4167,,49.5,87.96712238
2024-10-15,15.85,18.18,3.8462,,126.9,134.1124017
2024-10-14,13.4,66.67,10.5263,,107.25,102.5047455
2024-10-13,14.85,5,12.3077,,133.66,
2024-10-12,14.65,3.45,12.1951,,102.69,
2024-10-11,15.1,14.29,0,,60.31,
2024-10-10,14.65,17.86,3.0303,,58.68,
2024-10-09,14.65,4.08,8.9552,,88.02,
2024-10-08,14.65,16.67,7.5472,,102.69,
2024-10-07,14.65,8.33,9.2593,,73.35,
2024-10-06,14.65,3.33,4.0816,,29.34,
2024-10-05,15,15.38,5.5556,,74.98,
2024-10-04,15.2,100,3.125,,91.28,
2024-10-03,14.65,9.52,7.2727,,58.68,
2024-10-02,14.65,25,7.6923,,102.69,
2024-10-01,15.2,5.88,5.5556,,45.64,
2024-09-30,16.3,33.33,11.1111,,114.1,
2024-09-29,16.3,20,6.6667,,81.5,
2024-09-28,16.3,28.95,3.2609,,97.8,
2024-09-27,16.3,7.41,8,,65.2,
2024-09-26,16.3,50,2.8986,,48.9,
2024-09-25,18,12.5,3.8462,,89.95,
2024-09-24,16.3,8.33,8.3333,,146.91,
2024-09-23,14.95,16.67,7.5758,,149.5,
2024-09-22,14.95,100,5.3763,,74.75,
2024-09-21,14.95,6.25,5.5046,,74.75,
2024-09-20,14.95,1.33,9.0909,,119.6,
2024-09-19,14.95,7.69,11.3208,,194.35,
2024-09-18,14.95,10.53,4.4444,,44.85,
2024-09-17,14.95,5.85,15.873,,179.4,
2024-09-16,14.95,2.17,0,,29.9,
2024-09-15,14.95,33.33,6.0606,,149.5,
2024-09-14,14.95,12.5,8.4746,,44.85,
2024-09-13,14.95,5.8,0,,104.65,
2024-09-12,14.95,2.33,10.3448,,74.75,
2024-09-11,14.95,6.67,7.3171,,44.85,
2024-09-10,14.95,50,2.7027,,74.75,
2024-09-09,14.95,0.1,5.5556,,44.85,
2024-09-08,15.95,20,7.5472,,31.9,
2024-09-07,15.9,2.86,4.7619,,63.65,
2024-09-06,15.6,60,2.6316,,46.85,
2024-09-05,13.3,21.43,0,,79.75,
2024-09-04,15.95,5,4.6154,,63.8,
2024-09-03,14.25,50,10.7143,,142.55,
2024-09-02,15.95,5.48,9.6154,,79.75,
2024-09-01,14.35,8.33,5.4795,,43.05,
2024-08-31,14.35,11.43,8.5106,,71.75,
2024-08-30,14.35,14.29,0,,114.8,
2024-08-29,14.35,100,0,,28.7,
2024-08-28,14.35,25,0,,14.35,
2024-08-27,,,0,,,
2024-08-26,14.35,11.11,1.9231,,28.7,
2024-08-25,14.35,20,5.5556,,100.45,
2024-08-24,14.35,30.23,3.5714,,43.05,
2024-08-23,14.35,66.67,3.9216,,43.05,
2024-08-22,14.6,200,8.1967,,102.05,
2024-08-21,15.15,25,6.1224,,60.6,
2024-08-20,14.65,25,6.25,,73.35,
2024-08-19,14.9,8.33,14.8936,,133.95,
2024-08-18,14.4,100,3.7736,,57.6,
2024-08-17,14.4,50,1.6129,,57.6,
2024-08-16,14.4,7.14,10.7692,,100.8,
2024-08-15,14.95,2.22,6.8966,,44.8,
2024-08-14,14.55,25,8.8235,,145.6,
2024-08-13,14.4,3.57,4.5455,,57.6,
